<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
EURCHF,20251105,050000,0.93019,0.93019,0.9301,0.9301,51180000
EURCHF,20251105,050100,0.93011,0.93011,0.93007,0.93008,68790000
EURCHF,20251105,050200,0.93008,0.93014,0.93008,0.93013,69760000
EURCHF,20251105,050300,0.93014,0.9302,0.93012,0.9302,40680000
EURCHF,20251105,050400,0.93019,0.9302,0.93016,0.93019,40340000
EURCHF,20251105,050500,0.93019,0.93019,0.93013,0.93016,48250000
EURCHF,20251105,050600,0.93015,0.93017,0.93013,0.93017,73640000
EURCHF,20251105,050700,0.93018,0.9302,0.93016,0.93017,19020000
EURCHF,20251105,050800,0.93017,0.93022,0.93017,0.9302,53440000
EURCHF,20251105,050900,0.9302,0.93023,0.93019,0.9302,42260000
EURCHF,20251105,051000,0.9302,0.93024,0.9302,0.93022,40520000
EURCHF,20251105,051100,0.93022,0.93022,0.93017,0.93017,37900000
EURCHF,20251105,051200,0.93017,0.93021,0.93016,0.93018,71390000
EURCHF,20251105,051300,0.93021,0.93024,0.93021,0.93022,62800000
EURCHF,20251105,051400,0.93022,0.93025,0.93021,0.93025,21360000
EURCHF,20251105,051500,0.93026,0.93026,0.93022,0.93024,20540000
EURCHF,20251105,051600,0.93024,0.93024,0.93016,0.93017,39490000
EURCHF,20251105,051700,0.93018,0.9302,0.93018,0.93019,9660000
EURCHF,20251105,051800,0.9302,0.93022,0.93017,0.93021,42840000
EURCHF,20251105,051900,0.93021,0.93027,0.93019,0.93026,47960000
EURCHF,20251105,052000,0.93025,0.93027,0.93019,0.93019,56620000
EURCHF,20251105,052100,0.93018,0.93023,0.93017,0.93021,87710000
EURCHF,20251105,052200,0.93024,0.93026,0.93024,0.93025,23390000
EURCHF,20251105,052300,0.93023,0.93029,0.93023,0.93029,36560000
EURCHF,20251105,052400,0.93028,0.93029,0.93026,0.93029,38220000
EURCHF,20251105,052500,0.93029,0.93029,0.93025,0.93026,24860000
EURCHF,20251105,052600,0.93025,0.93028,0.93025,0.93028,22160000
EURCHF,20251105,052700,0.93027,0.93029,0.93027,0.93027,16470000
EURCHF,20251105,052800,0.93028,0.93029,0.93026,0.93028,42260000
EURCHF,20251105,052900,0.9303,0.9303,0.93024,0.93024,18420000
EURCHF,20251105,053000,0.93024,0.93029,0.93023,0.93026,31100000
EURCHF,20251105,053100,0.93026,0.9303,0.93026,0.9303,17680000
EURCHF,20251105,053200,0.93029,0.93029,0.93026,0.93026,20740000
EURCHF,20251105,053300,0.93027,0.93027,0.93023,0.93026,11680000
EURCHF,20251105,053400,0.93026,0.93029,0.93026,0.93028,16200000
EURCHF,20251105,053500,0.93029,0.93034,0.93029,0.93033,18580000
EURCHF,20251105,053600,0.9303,0.93031,0.93029,0.93029,30100000
EURCHF,20251105,053700,0.9303,0.93031,0.93028,0.93029,19780000
EURCHF,20251105,053800,0.93029,0.93031,0.93029,0.93031,15600000
EURCHF,20251105,053900,0.93031,0.93032,0.93027,0.93031,21300000
EURCHF,20251105,054000,0.9303,0.9303,0.93027,0.93027,39580000
EURCHF,20251105,054100,0.93026,0.93032,0.93025,0.93027,27500000
EURCHF,20251105,054200,0.93029,0.93029,0.93019,0.93019,31780000
EURCHF,20251105,054300,0.9302,0.93023,0.93017,0.93021,32960000
EURCHF,20251105,054400,0.93022,0.93024,0.93018,0.9302,20540000
EURCHF,20251105,054500,0.93021,0.93022,0.93017,0.93018,44660000
EURCHF,20251105,054600,0.93018,0.9302,0.93016,0.93016,23080000
EURCHF,20251105,054700,0.93018,0.93019,0.92998,0.92999,75880000
EURCHF,20251105,054800,0.92999,0.93,0.92992,0.92992,39120000
EURCHF,20251105,054900,0.92992,0.92996,0.92992,0.92996,16400000
EURCHF,20251105,055000,0.92997,0.92998,0.92992,0.92993,14840000
EURCHF,20251105,055100,0.92993,0.92993,0.92984,0.92986,22630000
EURCHF,20251105,055200,0.92984,0.92986,0.92977,0.92978,56740000
EURCHF,20251105,055300,0.92976,0.9298,0.92974,0.92974,48240000
EURCHF,20251105,055400,0.92974,0.92974,0.92971,0.92974,40900000
